id,year,active_year,start_year,end_year,type_of_violence,conflict_new_id,conflict_name,dyad_new_id,dyad_name,side_a_new_id,gwnoa,side_a,side_b_new_id,gwnob,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,iso3,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,low,best,high
,#date+year,,#date+year+start,#date+year+end,,,,,,,,#group+name+first,,,#group+name+second,,#meta+source,,,#description,,,#loc+name,#adm1+name,#adm2+name,#geo+lat,#geo+lon,,,#country+name,,#country+code,#region+name,,,#date+start,#date+end,,,,,,#affected+killed,
114064,2014,1,2014,2014,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Agence France Presse,2014-01-25,Iraq violence kills 14 as January toll tops 800""",Agence France Presse,2014-01-25,Iraq violence kills 14 as January toll tops 800,Doctor,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,1,2,2014-01-24,2014-01-25,0,0,1,7,8,8,8
62366,2013,1,2013,2013,3,506,IS - Civilians,973,IS - Civilians,234,,IS,1,,Civilians,-1,,,,,Police,1,Sāmarrā’ town,Şalāḩ ad Dīn province,Qaḑā’ Sāmarrā’,34.196632,43.873899,POINT (43.873899 34.196632),179008,Iraq,645,IRQ,Middle East,1,1,2013-07-05,2013-07-05,0,0,0,7,7,7,7
114179,2014,1,2014,2014,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Reuters News,2014-02-22,Militants briefly occupy north Iraq town; attacks kill 21""",Reuters News,2014-02-22,Militants briefly occupy north Iraq town; attacks kill 21,"Police, witnesses",2,Bayjī town,Şalāḩ ad Dīn province,Qaḑā’ Bayjī,34.9307,43.493107,POINT (43.493107 34.930700),179727,Iraq,645,IRQ,Middle East,1,2,2014-02-21,2014-02-22,6,0,0,0,6,6,6
114432,2014,1,2014,2014,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Agence France Presse,2014-05-08,Iraq policeman's booby-trapped body kills two relatives""",Agence France Presse,2014-05-08,Iraq policeman's booby-trapped body kills two relatives,Doctor,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,1,2,2014-05-07,2014-05-08,0,0,0,7,7,7,7
143030,2014,1,2014,2014,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Agence France Presse,2014-10-01,14 dead as holdout Iraq tribe repels jihadists""",Agence France Presse,2014-10-01,14 dead as holdout Iraq tribe repels jihadists,Police and medics ,1,Aḑ Ḑulū‘īyah town,Şalāḩ ad Dīn province,Qaḑā’ Balad,34.056214,44.218295,POINT (44.218295 34.056214),179009,Iraq,645,IRQ,Middle East,1,2,2014-09-30,2014-10-01,7,7,0,0,14,14,14
196787,2015,1,2015,2015,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""BBC Monitoring Middle East,2015-03-03,Over 50 Islamic State militants killed in clashes northern Iraq - website""",BBC Monitoring Middle East,2015-03-03,Over 50 Islamic State militants killed in clashes northern Iraq - website,a military commander ,1,Sinjār town,Nīnawá province,Sinjār district,36.320901,41.876562,POINT (41.876562 36.320901),181884,Iraq,645,IRQ,Middle East,1,2,2015-03-01,2015-03-02,0,50,0,0,50,50,50
137739,2006,1,2006,2006,3,13132,al-Mahdi Army - Civilians,13943,al-Mahdi Army - Civilians,5659,,al-Mahdi Army,1,,Civilians,-1,r 25/2,,,,police,1,Baghdād city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,IRQ,Middle East,1,2,2006-02-24,2006-02-25,0,0,0,0,0,0,14
122287,2004,1,2004,2004,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,-1,r 23/10,,,,,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,1,2,2004-10-22,2004-10-23,0,0,0,2,2,2,2
158377,2009,1,2009,2009,1,354,Turkey: Kurdistan,781,Government of Turkey - PKK,115,640.0,Government of Turkey,323,,PKK,-1,AFP 2009-03-15 Kurdish rebels say four fighters killed in Turkish raids,,,,PKK official,5,Zab river,Dahūk province,,37.070152,43.65638,POINT (43.656380 37.070152),183328,Iraq,645,IRQ,Middle East,1,2,2009-03-11,2009-03-13,0,2,0,0,2,2,2
122130,2004,1,2004,2004,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,r 7/4,,,,,1,Karbalā’ town,Karbalā’ province,Qaḑā Karbalā’,32.597902,44.016482,POINT (44.016482 32.597902),176849,Iraq,645,IRQ,Middle East,1,2,2004-04-06,2004-04-07,0,1,0,8,9,9,16
121463,2004,1,2004,2004,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,r 9/4,,,,,1,Karbalā’ town,Karbalā’ province,Qaḑā Karbalā’,32.597902,44.016482,POINT (44.016482 32.597902),176849,Iraq,645,IRQ,Middle East,1,2,2004-04-07,2004-04-08,0,0,6,15,21,21,21
121464,2004,1,2004,2004,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,r 8/4,,,,,1,Karbalā’ town,Karbalā’ province,Qaḑā Karbalā’,32.597902,44.016482,POINT (44.016482 32.597902),176849,Iraq,645,IRQ,Middle East,1,2,2004-04-07,2004-04-08,0,0,0,4,4,4,4
122164,2004,1,2004,2004,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,r 27/4,,,,,1,Al Kūfah town,An Najaf province,Qaḑā’ al Kūfah,32.034721,44.403332,POINT (44.403332 32.034721),176129,Iraq,645,IRQ,Middle East,1,2,2004-06-26,2004-06-27,0,6,0,0,6,6,43
121323,2004,1,2004,2004,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,r 14/8,,,,,1,Al Ḩillah town,Bābil province,Qaḑā’ al Ḩillah,32.463672,44.41963,POINT (44.419630 32.463672),176129,Iraq,645,IRQ,Middle East,1,2,2004-08-12,2004-08-13,3,0,0,7,10,10,40
213488,2015,1,2015,2015,1,354,Turkey: Kurdistan,781,Government of Turkey - PKK,115,640.0,Government of Turkey,323,,PKK,1,"""Agence France Presse,2015-08-22,Turkish soldier killed, ruling party HQ attacked in new PKK violence""",Agence France Presse,2015-08-22,"Turkish soldier killed, ruling party HQ attacked in new PKK violence",Army,1,Northern Iraq,,,36.166667,42.583333,POINT (42.583333 36.166667),181886,Iraq,645,IRQ,Middle East,1,2,2015-08-20,2015-08-21,0,0,0,0,0,0,29
122044,2004,1,2004,2004,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,r 26/4,,,,,1,Baghdād city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,IRQ,Middle East,1,2,2004-05-25,2004-05-26,0,20,0,0,20,20,50
139585,2008,1,2008,2008,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,r 12/4,,,,military,1,Baghdād city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,IRQ,Middle East,1,2,2008-04-11,2008-04-12,0,0,0,13,13,13,13
115523,2011,1,2011,2011,1,338,Iran: Government,754,Government of Iran - PJAK,114,630.0,Government of Iran,309,,PJAK,-1,"BBC Monitoring Middle East, ""Al-Iraqiyah List supports plan to ""trim"" government size; update"", 27 June 2011",,,,Baghdad televison,4,Arbīl province,Arbīl province,,36.166667,44.0,POINT (44.000000 36.166667),181889,Iraq,645,IRQ,Middle East,1,2,2011-06-26,2011-06-27,12,1,0,0,13,13,13
213595,2015,1,2015,2015,1,354,Turkey: Kurdistan,781,Government of Turkey - PKK,115,640.0,Government of Turkey,323,,PKK,2,"""Reuters News,2015-09-28,Five children hurt in bomb blast in southeast Turkey"";""Reuters News,2015-09-29,CORRECTED-(OFFICIAL)-Turkish forces kill more than 30 Kurdish militants on Friday -Erdogan""",Reuters News;Reuters News,2015-09-28;2015-09-29,Five children hurt in bomb blast in southeast Turkey;CORRECTED-(OFFICIAL)-Turkish forces kill more than 30 Kurdish militants on Friday -Erdogan,"state-run broadcaster TRT, President Erdogan",1,Northern Iraq,,,36.166667,42.583333,POINT (42.583333 36.166667),181886,Iraq,645,IRQ,Middle East,1,2,2015-09-25,2015-09-26,0,0,0,0,0,0,30
158404,2009,1,2009,2009,1,354,Turkey: Kurdistan,781,Government of Turkey - PKK,115,640.0,Government of Turkey,323,,PKK,-1,AP 2009-02-13 Report: Turkish bombs kill Kurdish rebels in Iraq; Reuters 2009-02-13 UPDATE 1-Turkish army kills 13 rebels in north Iraq-agency (rebel claims),,,,"Anatolian news agency, PKK spokesman",6,Iraq,,,33.0,44.0,POINT (44.000000 33.000000),177569,Iraq,645,IRQ,Middle East,1,2,2009-02-04,2009-02-05,0,3,0,0,3,3,10
122152,2004,1,2004,2004,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,r 21/5,,,,,1,Karbalā’ town,Karbalā’ province,Qaḑā Karbalā’,32.597902,44.016482,POINT (44.016482 32.597902),176849,Iraq,645,IRQ,Middle East,1,2,2004-05-20,2004-05-21,0,0,1,3,4,4,4
122160,2004,1,2004,2004,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,r 23/5,,,,,1,An Najaf town,An Najaf province,Qaḑā’ an Najaf,31.989205,44.329098,POINT (44.329098 31.989205),175409,Iraq,645,IRQ,Middle East,1,2,2004-05-22,2004-05-23,0,0,0,14,14,14,14
122266,2004,1,2004,2004,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,-1,r 26/9,,,,,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,1,2,2004-09-25,2004-09-26,0,0,0,8,8,8,8
139611,2008,1,2008,2008,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,AFP 2/5,,,,"security sources, US, hospital sources",1,Baghdād city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,IRQ,Middle East,1,2,2008-05-01,2008-05-02,0,0,0,4,4,4,4
139618,2008,1,2008,2008,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,AFP 8/5,,,,"security source, hospital source",1,Baghdād city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,IRQ,Middle East,1,2,2008-05-07,2008-05-08,0,0,0,7,7,7,7
139620,2008,1,2008,2008,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,AFP 9/5,,,,hospital sources,1,Baghdād city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,IRQ,Middle East,1,2,2008-05-08,2008-05-09,0,0,0,4,4,4,4
122131,2004,1,2004,2004,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,r 2004-04-06,,,,,1,Baghdād city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,IRQ,Middle East,1,2,2004-04-05,2004-04-06,8,0,50,0,58,58,58
125903,2004,1,2004,2004,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,r 13/6,,,,,1,Baghdād city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,IRQ,Middle East,1,2,2004-06-12,2004-06-13,0,2,3,0,5,5,5
145517,1997,1,1997,1997,2,4759,KDP - PKK,5369,KDP - PKK,260,,KDP,323,,PKK,-1,"MED-TV, London, in Turkish 1830 gmt 31 Oct 97",,,,PKK,5,Northern Iraq,,,36.166667,42.583333,POINT (42.583333 36.166667),181886,Iraq,645,IRQ,Middle East,1,2,1997-10-30,1997-10-31,4,0,0,0,4,4,4
139623,2008,1,2008,2008,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,"AFP 10/5, r 10/5",,,,hospital sources,1,Baghdād city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,IRQ,Middle East,1,2,2008-05-09,2008-05-10,0,0,0,13,13,13,19
210310,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Agence France Presse,2016-01-05,25 Iraq fighters killed thwarting IS assault: commander""",Agence France Presse,2016-01-05,25 Iraq fighters killed thwarting IS assault: commander,"Tribal commander, Sheikh Abdallah Atallah",1,Sakrana village,Al Anbār province,Qaḑā’ Haditha,34.191935,42.498131,POINT (42.498131 34.191935),179005,Iraq,645,IRQ,Middle East,1,2,2016-01-03,2016-01-05,0,20,0,0,20,20,20
217874,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Airwars,2016-03-05,March 5th-6th 2016: Mosul, Nineveh province, Iraq""",Airwars,2016-03-05,"March 5th-6th 2016: Mosul, Nineveh province, Iraq",Local sources,1,Mosul town,Nīnawá province,Qaḑā’ al Mawşil,36.335,43.118889,POINT (43.118889 36.335000),181887,Iraq,645,IRQ,Middle East,1,2,2016-03-05,2016-03-06,0,10,21,0,31,31,31
216461,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""BBC Monitoring Middle East,2016-03-20,Iraqi forces advance in western Ramadi, kill dozens of IS militants - website""",BBC Monitoring Middle East,2016-03-20,"Iraqi forces advance in western Ramadi, kill dozens of IS militants - website","Iraqi Joint Operations Command, Popular Mobilization Forces (PMF) Command in Al-Anbar Province",1,Hīt town,Al Anbār province,Hīt district,33.636636,42.827683,POINT (42.827683 33.636636),178286,Iraq,645,IRQ,Middle East,1,2,2016-03-19,2016-03-20,0,24,0,0,24,24,24
224930,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,5,"""Al Jazeera English,2016-05-23,Iraq PM declares offensive to retake Fallujah from ISIL"";""Al Jazeera English,2016-05-23,Iraq PM declares offensive to retake Fallujah from ISIL"";""Reuters News,2016-05-23,Iraqi forces clash with Islamic State near Falluja, bombard city center"";""Reuters News,2016-05-23,UPDATE 3-Iraqi forces clash with Islamic State near Falluja, bombard city centre"";""Reuters News,2016-05-24,UPDATE 3-Iraq forces keep up shelling of Falluja, U.N. concern mounts for civilians""",Al Jazeera English;Al Jazeera English;Reuters News;Reuters News;Reuters News,2016-05-23;2016-05-23;2016-05-23;2016-05-23;2016-05-24,"Iraq PM declares offensive to retake Fallujah from ISIL;Iraq PM declares offensive to retake Fallujah from ISIL;Iraqi forces clash with Islamic State near Falluja, bombard city center;UPDATE 3-Iraqi forces clash with Islamic State near Falluja, bombard city centre;UPDATE 3-Iraq forces keep up shelling of Falluja, U.N. concern mounts for civilians",Local and hospital sources in Fallujah,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,1,2,2016-05-22,2016-05-23,0,2,7,0,9,9,9
225192,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,2,"""Agence France Presse,2016-05-30,Iraq Kurds retake nine villages from IS: statement"";""Al Jazeera English,2016-05-29,Final assault on ISIL-held Fallujah imminent: army""",Agence France Presse;Al Jazeera English,2016-05-30;2016-05-29,Iraq Kurds retake nine villages from IS: statement;Final assault on ISIL-held Fallujah imminent: army,Kurdistan Region Security Council and Pershmerga officer,2,Xazir village,Nīnawá province,Qaḑā’ al Mawşil,36.641426,43.474231,POINT (43.474231 36.641426),182607,Iraq,645,IRQ,Middle East,1,2,2016-05-29,2016-05-30,4,140,0,0,144,144,144
114039,2014,1,2014,2014,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Agence France Presse,2014-01-17,Iraq army presses Anbar assault as unrest kills six""",Agence France Presse,2014-01-17,Iraq army presses Anbar assault as unrest kills six,Doctor,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,1,2,2014-01-16,2014-01-17,0,0,0,3,3,3,3
114144,2014,1,2014,2014,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,2,"""Agence France Presse,2014-02-15,Overnight Iraq violence kills 16 soldiers, police"";""Reuters News,2014-02-15,Iraqi army fights to wrest northern town from militants""",Agence France Presse;Reuters News,2014-02-15;2014-02-15,"Overnight Iraq violence kills 16 soldiers, police;Iraqi army fights to wrest northern town from militants",AFP,2,Jurf aş Şakhr town,Bābil province,Qaḑā’ al Musayyib,32.873604,44.193877,POINT (44.193877 32.873604),176849,Iraq,645,IRQ,Middle East,1,2,2014-02-14,2014-02-15,8,12,0,0,20,20,20
114421,2014,1,2014,2014,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Agence France Presse,2014-05-04,Shelling kills 11 in Iraq's Fallujah: doctor""",Agence France Presse,2014-05-04,Shelling kills 11 in Iraq's Fallujah: doctor,A doctor,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,1,2,2014-05-03,2014-05-04,0,0,0,11,11,11,11
114851,2014,1,2014,2014,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Agence France Presse,2014-06-20,Clashes kill 34 Iraq security forces on Syria border: officials""",Agence France Presse,2014-06-20,Clashes kill 34 Iraq security forces on Syria border: officials,Officials,1,Al Qā’im town,Al Anbār province,Al Qā’im district,34.368367,41.162221,POINT (41.162221 34.368367),179003,Iraq,645,IRQ,Middle East,1,2,2014-06-19,2014-06-20,34,0,0,0,34,34,34
120463,2014,1,2014,2014,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,4,"""Agence France Presse,2014-08-01,Iraq soldiers die battling jihadists, blasts hit Baghdad"";""Agence France Presse,2014-08-02,Jihadists kill 30 in fighting south of Baghdad: army"";""Agence France Presse,2014-08-02,Jihadists kill 23 in fighting south of Baghdad: army"";""Agence France Presse,2014-08-02,Jihadists kill dozens as Iraq fighting rages""",Agence France Presse;Agence France Presse;Agence France Presse;Agence France Presse,2014-08-01;2014-08-02;2014-08-02;2014-08-02,"Iraq soldiers die battling jihadists, blasts hit Baghdad;Jihadists kill 30 in fighting south of Baghdad: army;Jihadists kill 23 in fighting south of Baghdad: army;Jihadists kill dozens as Iraq fighting rages",An army medic,1,Jurf aş Şakhr town,Bābil province,Qaḑā’ al Musayyib,32.873604,44.193877,POINT (44.193877 32.873604),176849,Iraq,645,IRQ,Middle East,1,2,2014-08-01,2014-08-02,30,37,0,0,67,67,74
151535,2014,1,2014,2014,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Reuters News,2014-12-18,Iraqi Kurds liberate besieged Sinjar mountain, freeing hundreds""",Reuters News,2014-12-18,"Iraqi Kurds liberate besieged Sinjar mountain, freeing hundreds","Masrour Barzani, head of the Iraqi Kurdish region's national security council",4,Nīnawá province,Nīnawá province,,36.166667,42.583333,POINT (42.583333 36.166667),181886,Iraq,645,IRQ,Middle East,1,2,2014-12-17,2014-12-18,0,20,0,0,20,20,20
198615,2015,1,2015,2015,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Reuters News,2015-01-21,Kurdish forces squeeze Islamic State supply line in northern Iraq""",Reuters News,2015-01-21,Kurdish forces squeeze Islamic State supply line in northern Iraq,head of the Kurdish Security Council,4,Nīnawá province,Nīnawá province,,36.166667,42.583333,POINT (42.583333 36.166667),181886,Iraq,645,IRQ,Middle East,1,2,2015-01-20,2015-01-21,0,194,0,0,194,194,194
197349,2015,1,2015,2015,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""BBC Monitoring Middle East,2015-07-15,Kurdish fighters repel Islamic State attack near Iraq's disputed town""",BBC Monitoring Middle East,2015-07-15,Kurdish fighters repel Islamic State attack near Iraq's disputed town,The head of Tuz Khurmatu Administration Media Office,2,Ţūzkhūrmātū town,Şalāḩ ad Dīn province,Tooz district,34.888083,44.632564,POINT (44.632564 34.888083),179730,Iraq,645,IRQ,Middle East,1,2,2015-07-14,2015-07-15,0,24,0,0,24,24,24
197354,2015,1,2015,2015,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""BBC Monitoring Middle East,2015-07-16,Iraqi army retake ""eight areas"" in Al-Anbar, kill ""dozens"" - security source""",BBC Monitoring Middle East,2015-07-16,"Iraqi army retake ""eight areas"" in Al-Anbar, kill ""dozens"" - security source",An official [Iraqi] security source,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,1,2,2015-07-15,2015-07-16,0,24,0,0,24,24,24
213076,2015,1,2015,2015,1,354,Turkey: Kurdistan,781,Government of Turkey - PKK,115,640.0,Government of Turkey,323,,PKK,2,"""Agence France Presse,2015-07-26,Turkey army blames PKK for deadly attack as truce unravels"";""BBC Monitoring European,2015-07-30,Kurdish leader says militant PKK not responsible for killing two Turkish police""",Agence France Presse;BBC Monitoring European,2015-07-26;2015-07-30,Turkey army blames PKK for deadly attack as truce unravels;Kurdish leader says militant PKK not responsible for killing two Turkish police,PKK,1,Northern Iraq,,,36.166667,42.583333,POINT (42.583333 36.166667),181886,Iraq,645,IRQ,Middle East,1,2,2015-07-24,2015-07-26,0,9,0,0,9,9,9
210259,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,4,"""Agence France Presse,2016-01-05,25 Iraq fighters killed thwarting IS assault in Anbar: commander"";""Agence France Presse,2016-01-05,25 Iraq fighters killed thwarting IS assault: commander"";""Reuters News,2016-01-05,IS launches offensives near northwest Iraqi city"";""Associated Press Newswires,2016-01-06,IS steps up assault on western Iraqi town after losses""",Agence France Presse;Agence France Presse;Reuters News;Associated Press Newswires,2016-01-05;2016-01-05;2016-01-05;2016-01-06,25 Iraq fighters killed thwarting IS assault in Anbar: commander;25 Iraq fighters killed thwarting IS assault: commander;IS launches offensives near northwest Iraqi city;IS steps up assault on western Iraqi town after losses,Iraqui official and Tribal leaders,1,Haditha town,Al Anbār province,Qaḑā’ Haditha,34.134772,42.377236,POINT (42.377236 34.134772),179005,Iraq,645,IRQ,Middle East,1,2,2016-01-03,2016-01-05,45,101,0,0,146,146,146
224690,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""BBC Monitoring Middle East,2016-05-05,Army forces kill 50 Islamic State militants north-western Iraq - website""",BBC Monitoring Middle East,2016-05-05,Army forces kill 50 Islamic State militants north-western Iraq - website,"Military source at Nineveh Province,",1,Kharaba village,Arbīl province,Qaḑā’ Makhmūr,35.714807,43.346855,POINT (43.346855 35.714807),181167,Iraq,645,IRQ,Middle East,1,2,2016-05-03,2016-05-05,0,20,0,0,20,20,20
225419,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Agence France Presse,2016-06-03,More than 1,000 Iraqi forces wounded in Fallujah op""",Agence France Presse,2016-06-03,"More than 1,000 Iraqi forces wounded in Fallujah op","Health officials, security sources",2,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,2,4,2016-05-22,2016-06-01,70,0,0,0,70,70,70
225555,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Reuters News,2016-06-14,Flow of civilians from Iraq's Falluja slows as IS tightens grip""",Reuters News,2016-06-14,Flow of civilians from Iraq's Falluja slows as IS tightens grip,Iraqi officer involved in the operation,2,Hajj Ali village,Nīnawá province,Qaḑā’ al Mawşil,35.740332,43.308956,POINT (43.308956 35.740332),181167,Iraq,645,IRQ,Middle East,1,2,2016-06-11,2016-06-12,0,21,0,0,21,21,21
225721,2016,1,2016,2016,1,259,Iraq: Government,524,Government of Iraq - IS,116,645.0,Government of Iraq,234,,IS,1,"""Associated Press Newswires,2016-06-23,Iraqi forces focus on militants in north and west Fallujah""",Associated Press Newswires,2016-06-23,Iraqi forces focus on militants in north and west Fallujah,Capt. Muthhour Sabaar of the Anbar provincial police ,1,Al Fallūjah town,Al Anbār province,Qaḑā’ al Fallūjah,33.355813,43.786124,POINT (43.786124 33.355813),177568,Iraq,645,IRQ,Middle East,1,2,2016-06-22,2016-06-23,0,2,0,0,2,2,2
231982,2016,1,2016,2016,1,13902,Turkey: Islamic State,14701,Government of Turkey - IS,115,640.0,Government of Turkey,234,,IS,1,"""Reuters News,2016-10-24,Turkish artillery has killed 17 IS militants in Mosul operation - minister""",Reuters News,2016-10-24,Turkish artillery has killed 17 IS militants in Mosul operation - minister,Turkish foreign minister ,6,Iraq,,,33.0,44.0,POINT (44.000000 33.000000),177569,Iraq,645,IRQ,Middle East,2,4,2016-10-17,2016-10-24,0,17,0,0,17,17,17
139629,2008,1,2008,2008,1,259,Iraq: Government,13891,Government of Iraq - al-Mahdi Army,116,645.0,Government of Iraq,5659,,al-Mahdi Army,-1,r 15/5,,,,"US, hospital sources",1,Baghdād city,Baghdād province,,33.340582,44.400876,POINT (44.400876 33.340582),177569,Iraq,645,IRQ,Middle East,1,2,2008-05-14,2008-05-15,0,2,0,5,7,7,7
145140,1991,1,1991,1991,1,371,Iraq - Kuwait,799,Government of Iraq - Government of Kuwait,116,645.0,Government of Iraq,125,690.0,Government of Kuwait,-1,r 2/3,,,,,5,Southern Iraq,,,30.333333,47.25,POINT (47.250000 30.333333),173255,Iraq,645,IRQ,Middle East,1,1,1991-03-01,1991-03-01,2,0,0,0,2,2,2
